label,info, average_coverage ,variant_caller,sampleID,labID,paternalID,maternalID,sex,file_path
Trio13_Child,Cow_YakHighlanderF1, 17.92 ,DT1.4_default_human,UMCUSAF000000341497,341497,UMCUSAM000000204543,UMCUSAF000000204544,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/UMCUSAF000000341497/UMCUSAF000000341497.vcf.gz
Trio13_Father,Cow_Highlander, 34.69 ,DT1.4_default_human,UMCUSAM000000204543,204543,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/UMCUSAM000000204543/UMCUSAM000000204543.vcf.gz
Trio13_Mother,Cow_Yak , 10.66 ,DT1.4_default_human,UMCUSAF000000204544,204544,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/UMCUSAF000000204544/UMCUSAF000000204544.vcf.gz
Trio14_Child,Cow_BisonSimmentalF1, 14.46 ,DT1.4_default_human,UMCUSAM000000341713,341713,UMCUSAM000000341714,UMCUSAF000000339207,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/UMCUSAM000000341713/UMCUSAM000000341713.vcf.gz
Trio14_Father,Cow_Bison , 27.44 ,DT1.4_default_human,UMCUSAM000000341714,341714,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/UMCUSAM000000341714/UMCUSAM000000341714.vcf.gz
Trio14_Mother,Cow_Simmental, 35.42 ,DT1.4_default_human,UMCUSAF000000339207,339207,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DT1.4_default_human/UMCUSAF000000339207/UMCUSAF000000339207.vcf.gz
Trio12_Child,Cow_AngusBrahmanF1, 50.01 ,DV1.4_default_human,UMCUSAM000000341496,341496,UMCUSAU000000194551,UMCUSAU000000194550,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/UMCUSAM000000341496/UMCUSAM000000341496.vcf.gz
Trio12_Father,Cow_Angus, 36.99 ,DV1.4_default_human,UMCUSAU000000194551,194551,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/UMCUSAU000000194551/UMCUSAU000000194551.vcf.gz
Trio12_Mother,Cow_Brahman, 43.32 ,DV1.4_default_human,UMCUSAU000000194550,194550,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/UMCUSAU000000194550/UMCUSAU000000194550.vcf.gz
Trio13_Child,Cow_YakHighlanderF1, 17.92 ,DV1.4_default_human,UMCUSAF000000341497,341497,UMCUSAM000000204543,UMCUSAF000000204544,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/UMCUSAF000000341497/UMCUSAF000000341497.vcf.gz
Trio13_Father,Cow_Highlander, 34.69 ,DV1.4_default_human,UMCUSAM000000204543,204543,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/UMCUSAM000000204543/UMCUSAM000000204543.vcf.gz
Trio13_Mother,Cow_Yak , 10.66 ,DV1.4_default_human,UMCUSAF000000204544,204544,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/UMCUSAF000000204544/UMCUSAF000000204544.vcf.gz
Trio14_Child,Cow_BisonSimmentalF1, 14.46 ,DV1.4_default_human,UMCUSAM000000341713,341713,UMCUSAM000000341714,UMCUSAF000000339207,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/UMCUSAM000000341713/UMCUSAM000000341713.vcf.gz
Trio14_Father,Cow_Bison , 27.44 ,DV1.4_default_human,UMCUSAM000000341714,341714,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/UMCUSAM000000341714/UMCUSAM000000341714.vcf.gz
Trio14_Mother,Cow_Simmental, 35.42 ,DV1.4_default_human,UMCUSAF000000339207,339207,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_default_human/UMCUSAF000000339207/UMCUSAF000000339207.vcf.gz
Trio12_Child,Cow_AngusBrahmanF1, 50.01 ,DV1.4_WGS.AF_human,UMCUSAM000000341496,341496,UMCUSAU000000194551,UMCUSAU000000194550,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/UMCUSAM000000341496/UMCUSAM000000341496.vcf.gz
Trio12_Father,Cow_Angus, 36.99 ,DV1.4_WGS.AF_human,UMCUSAU000000194551,194551,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/UMCUSAU000000194551/UMCUSAU000000194551.vcf.gz
Trio12_Mother,Cow_Brahman, 43.32 ,DV1.4_WGS.AF_human,UMCUSAU000000194550,194550,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/UMCUSAU000000194550/UMCUSAU000000194550.vcf.gz
Trio13_Child,Cow_YakHighlanderF1, 17.92 ,DV1.4_WGS.AF_human,UMCUSAF000000341497,341497,UMCUSAM000000204543,UMCUSAF000000204544,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/UMCUSAF000000341497/UMCUSAF000000341497.vcf.gz
Trio13_Father,Cow_Highlander, 34.69 ,DV1.4_WGS.AF_human,UMCUSAM000000204543,204543,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/UMCUSAM000000204543/UMCUSAM000000204543.vcf.gz
Trio13_Mother,Cow_Yak , 10.66 ,DV1.4_WGS.AF_human,UMCUSAF000000204544,204544,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/UMCUSAF000000204544/UMCUSAF000000204544.vcf.gz
Trio14_Child,Cow_BisonSimmentalF1, 14.46 ,DV1.4_WGS.AF_human,UMCUSAM000000341713,341713,UMCUSAM000000341714,UMCUSAF000000339207,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/UMCUSAM000000341713/UMCUSAM000000341713.vcf.gz
Trio14_Father,Cow_Bison , 27.44 ,DV1.4_WGS.AF_human,UMCUSAM000000341714,341714,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/UMCUSAM000000341714/UMCUSAM000000341714.vcf.gz
Trio14_Mother,Cow_Simmental, 35.42 ,DV1.4_WGS.AF_human,UMCUSAF000000339207,339207,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_human/UMCUSAF000000339207/UMCUSAF000000339207.vcf.gz
Trio12_Child,Cow_AngusBrahmanF1, 50.01 ,DV1.4_WGS.AF_cattle4,UMCUSAM000000341496,341496,UMCUSAU000000194551,UMCUSAU000000194550,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/UMCUSAM000000341496/UMCUSAM000000341496.vcf.gz
Trio12_Father,Cow_Angus, 36.99 ,DV1.4_WGS.AF_cattle4,UMCUSAU000000194551,194551,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/UMCUSAU000000194551/UMCUSAU000000194551.vcf.gz
Trio12_Mother,Cow_Brahman, 43.32 ,DV1.4_WGS.AF_cattle4,UMCUSAU000000194550,194550,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/UMCUSAU000000194550/UMCUSAU000000194550.vcf.gz
Trio13_Child,Cow_YakHighlanderF1, 17.92 ,DV1.4_WGS.AF_cattle4,UMCUSAF000000341497,341497,UMCUSAM000000204543,UMCUSAF000000204544,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/UMCUSAF000000341497/UMCUSAF000000341497.vcf.gz
Trio13_Father,Cow_Highlander, 34.69 ,DV1.4_WGS.AF_cattle4,UMCUSAM000000204543,204543,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/UMCUSAM000000204543/UMCUSAM000000204543.vcf.gz
Trio13_Mother,Cow_Yak , 10.66 ,DV1.4_WGS.AF_cattle4,UMCUSAF000000204544,204544,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/UMCUSAF000000204544/UMCUSAF000000204544.vcf.gz
Trio14_Child,Cow_BisonSimmentalF1, 14.46 ,DV1.4_WGS.AF_cattle4,UMCUSAM000000341713,341713,UMCUSAM000000341714,UMCUSAF000000339207,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/UMCUSAM000000341713/UMCUSAM000000341713.vcf.gz
Trio14_Father,Cow_Bison , 27.44 ,DV1.4_WGS.AF_cattle4,UMCUSAM000000341714,341714,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/UMCUSAM000000341714/UMCUSAM000000341714.vcf.gz
Trio14_Mother,Cow_Simmental, 35.42 ,DV1.4_WGS.AF_cattle4,UMCUSAF000000339207,339207,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle4/UMCUSAF000000339207/UMCUSAF000000339207.vcf.gz
Trio12_Child,Cow_AngusBrahmanF1, 50.01 ,DV1.4_WGS.AF_cattle3,UMCUSAM000000341496,341496,UMCUSAU000000194551,UMCUSAU000000194550,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/UMCUSAM000000341496/UMCUSAM000000341496.vcf.gz
Trio12_Father,Cow_Angus, 36.99 ,DV1.4_WGS.AF_cattle3,UMCUSAU000000194551,194551,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/UMCUSAU000000194551/UMCUSAU000000194551.vcf.gz
Trio12_Mother,Cow_Brahman, 43.32 ,DV1.4_WGS.AF_cattle3,UMCUSAU000000194550,194550,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/UMCUSAU000000194550/UMCUSAU000000194550.vcf.gz
Trio13_Child,Cow_YakHighlanderF1, 17.92 ,DV1.4_WGS.AF_cattle3,UMCUSAF000000341497,341497,UMCUSAM000000204543,UMCUSAF000000204544,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/UMCUSAF000000341497/UMCUSAF000000341497.vcf.gz
Trio13_Father,Cow_Highlander, 34.69 ,DV1.4_WGS.AF_cattle3,UMCUSAM000000204543,204543,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/UMCUSAM000000204543/UMCUSAM000000204543.vcf.gz
Trio13_Mother,Cow_Yak , 10.66 ,DV1.4_WGS.AF_cattle3,UMCUSAF000000204544,204544,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/UMCUSAF000000204544/UMCUSAF000000204544.vcf.gz
Trio14_Child,Cow_BisonSimmentalF1, 14.46 ,DV1.4_WGS.AF_cattle3,UMCUSAM000000341713,341713,UMCUSAM000000341714,UMCUSAF000000339207,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/UMCUSAM000000341713/UMCUSAM000000341713.vcf.gz
Trio14_Father,Cow_Bison , 27.44 ,DV1.4_WGS.AF_cattle3,UMCUSAM000000341714,341714,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/UMCUSAM000000341714/UMCUSAM000000341714.vcf.gz
Trio14_Mother,Cow_Simmental, 35.42 ,DV1.4_WGS.AF_cattle3,UMCUSAF000000339207,339207,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle3/UMCUSAF000000339207/UMCUSAF000000339207.vcf.gz
Trio12_Child,Cow_AngusBrahmanF1, 50.01 ,DV1.4_WGS.AF_cattle2,UMCUSAM000000341496,341496,UMCUSAU000000194551,UMCUSAU000000194550,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/UMCUSAM000000341496/UMCUSAM000000341496.vcf.gz
Trio12_Father,Cow_Angus, 36.99 ,DV1.4_WGS.AF_cattle2,UMCUSAU000000194551,194551,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/UMCUSAU000000194551/UMCUSAU000000194551.vcf.gz
Trio12_Mother,Cow_Brahman, 43.32 ,DV1.4_WGS.AF_cattle2,UMCUSAU000000194550,194550,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/UMCUSAU000000194550/UMCUSAU000000194550.vcf.gz
Trio13_Child,Cow_YakHighlanderF1, 17.92 ,DV1.4_WGS.AF_cattle2,UMCUSAF000000341497,341497,UMCUSAM000000204543,UMCUSAF000000204544,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/UMCUSAF000000341497/UMCUSAF000000341497.vcf.gz
Trio13_Father,Cow_Highlander, 34.69 ,DV1.4_WGS.AF_cattle2,UMCUSAM000000204543,204543,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/UMCUSAM000000204543/UMCUSAM000000204543.vcf.gz
Trio13_Mother,Cow_Yak , 10.66 ,DV1.4_WGS.AF_cattle2,UMCUSAF000000204544,204544,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/UMCUSAF000000204544/UMCUSAF000000204544.vcf.gz
Trio14_Child,Cow_BisonSimmentalF1, 14.46 ,DV1.4_WGS.AF_cattle2,UMCUSAM000000341713,341713,UMCUSAM000000341714,UMCUSAF000000339207,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/UMCUSAM000000341713/UMCUSAM000000341713.vcf.gz
Trio14_Father,Cow_Bison , 27.44 ,DV1.4_WGS.AF_cattle2,UMCUSAM000000341714,341714,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/UMCUSAM000000341714/UMCUSAM000000341714.vcf.gz
Trio14_Mother,Cow_Simmental, 35.42 ,DV1.4_WGS.AF_cattle2,UMCUSAF000000339207,339207,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle2/UMCUSAF000000339207/UMCUSAF000000339207.vcf.gz
Trio12_Child,Cow_AngusBrahmanF1, 50.01 ,DV1.4_WGS.AF_cattle1,UMCUSAM000000341496,341496,UMCUSAU000000194551,UMCUSAU000000194550,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/UMCUSAM000000341496/UMCUSAM000000341496.vcf.gz
Trio12_Father,Cow_Angus, 36.99 ,DV1.4_WGS.AF_cattle1,UMCUSAU000000194551,194551,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/UMCUSAU000000194551/UMCUSAU000000194551.vcf.gz
Trio12_Mother,Cow_Brahman, 43.32 ,DV1.4_WGS.AF_cattle1,UMCUSAU000000194550,194550,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/UMCUSAU000000194550/UMCUSAU000000194550.vcf.gz
Trio13_Child,Cow_YakHighlanderF1, 17.92 ,DV1.4_WGS.AF_cattle1,UMCUSAF000000341497,341497,UMCUSAM000000204543,UMCUSAF000000204544,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/UMCUSAF000000341497/UMCUSAF000000341497.vcf.gz
Trio13_Father,Cow_Highlander, 34.69 ,DV1.4_WGS.AF_cattle1,UMCUSAM000000204543,204543,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/UMCUSAM000000204543/UMCUSAM000000204543.vcf.gz
Trio13_Mother,Cow_Yak , 10.66 ,DV1.4_WGS.AF_cattle1,UMCUSAF000000204544,204544,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/UMCUSAF000000204544/UMCUSAF000000204544.vcf.gz
Trio14_Child,Cow_BisonSimmentalF1, 14.46 ,DV1.4_WGS.AF_cattle1,UMCUSAM000000341713,341713,UMCUSAM000000341714,UMCUSAF000000339207,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/UMCUSAM000000341713/UMCUSAM000000341713.vcf.gz
Trio14_Father,Cow_Bison , 27.44 ,DV1.4_WGS.AF_cattle1,UMCUSAM000000341714,341714,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/UMCUSAM000000341714/UMCUSAM000000341714.vcf.gz
Trio14_Mother,Cow_Simmental, 35.42 ,DV1.4_WGS.AF_cattle1,UMCUSAF000000339207,339207,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle1/UMCUSAF000000339207/UMCUSAF000000339207.vcf.gz
Trio12_Child,Cow_AngusBrahmanF1, 50.01 ,DV1.4_WGS.AF_cattle5,UMCUSAM000000341496,341496,UMCUSAU000000194551,UMCUSAU000000194550,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/UMCUSAM000000341496/UMCUSAM000000341496.vcf.gz
Trio12_Father,Cow_Angus, 36.99 ,DV1.4_WGS.AF_cattle5,UMCUSAU000000194551,194551,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/UMCUSAU000000194551/UMCUSAU000000194551.vcf.gz
Trio12_Mother,Cow_Brahman, 43.32 ,DV1.4_WGS.AF_cattle5,UMCUSAU000000194550,194550,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/UMCUSAU000000194550/UMCUSAU000000194550.vcf.gz
Trio13_Child,Cow_YakHighlanderF1, 17.92 ,DV1.4_WGS.AF_cattle5,UMCUSAF000000341497,341497,UMCUSAM000000204543,UMCUSAF000000204544,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/UMCUSAF000000341497/UMCUSAF000000341497.vcf.gz
Trio13_Father,Cow_Highlander, 34.69 ,DV1.4_WGS.AF_cattle5,UMCUSAM000000204543,204543,0,0,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/UMCUSAM000000204543/UMCUSAM000000204543.vcf.gz
Trio13_Mother,Cow_Yak , 10.66 ,DV1.4_WGS.AF_cattle5,UMCUSAF000000204544,204544,0,0,2,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/UMCUSAF000000204544/UMCUSAF000000204544.vcf.gz
Trio14_Child,Cow_BisonSimmentalF1, 14.46 ,DV1.4_WGS.AF_cattle5,UMCUSAM000000341713,341713,UMCUSAM000000341714,UMCUSAF000000339207,1,/mnt/pixstor/schnabelr-drii/WORKING/jakth2/VARIANT_CALLING_OUTPUTS/240528_Benchmarking/DV1.4_WGS.AF_cattle5/UMCUSAM000000341713/UMCUSAM000000341713.vcf.gz
